preview_thumb,token_id,edition_size,Tier,Series,background_hex,name_final,Character,Character_Variant,Style,Colorway,Frame,slug,title_en,description_en,alt_text_en,myth_scene,meaning_line,caption_300,symbols,display_order,qc_status,qc_notes,ready_for_export,listing_status,Rarity,,,,,Masters,Previews,cid_Poster_Image,external_url,image_filename,animation_filename,animation_cid,taxonomy_tags,token_range,collection_path,marketplace,standard,price_native,currency,operator_filter,chain,royalty_bps,fee_recipient,contract_address,contract_factory,Renders,Thumbnails,cid_Previews,cid_Renders,cid_Thumbnails,image_path,json_path,json_cid,unlockable_path,cid_master,cid_video,cid_vr,cid_coa,cid_print_token,license_url,license_attr_value,schema_version,operator_policy_note,unlockable_notes,unlockable_flag,unlockable_type,unlockable_cid,unlockable_cid,unlockable_bytes,unlockable_zip_filename,unlockable_zip_url,unlockable_zip_bytes,unlockable_zip_sha256,export_batch_id,last_qc_at,last_modified,opensea_permalink,json_preview_url,status_json,category_id,subcategory_id,alt_text_en_auto,hook_line,attributes_json,json_will_emit,missing_fields,warnings,checksum_ok,image_width,image_height,image_checksum,animation_width,animation_height,animation_duration_s,image_mime,image_bytes,animation_mime,animation_bytes
,1002,1,Mythic Icon,Greek Heroes,FFFFFF,Hercules,Hercules,8,,Gold,Square with round hole,Hercules-1002,Hercules,,Round canvas portrait of Hercules,,,,Round canvas portrait of Zeus palette: Gold.,,,,,,,,,,,,,,,2,3,,,,04_COLLECTIONS/Greek/Greek Heroes/Hercules,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,Zora,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,Photo-painterly Photographic,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Hercules""}]",,,,,,,,,,,,,,
,,,,Greek Heroes,FFFFFF,Actaeon,Actaeon,,,Green,,posiedon,,,Round canvas portrait of Actaeon,,,,Round canvas portrait of Posiedon,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Greek Heroes/Actaeon,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Actaeon""}]",,,,,,,,,,,,,,
,,,,Greek Heroes,FFFFFF,Aeneas,Aeneas,,,,,ares,,,Round canvas portrait of Aeneas,,,,Round canvas portrait of Ares,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Greek Heroes/Aeneas,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Aeneas""}]",,,,,,,,,,,,,,
,,,,Greek Heroes,FFFFFF,Atalanta,Atalanta,,,,,hades,,,Round canvas portrait of Atalanta,,,,Round canvas portrait of HADES,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Greek Heroes/Atalanta,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Atalanta""}]",,,,,,,,,,,,,,
,,,,Greek Heroes,FFFFFF,Bellerophon,Bellerophon,,,,,aphrodite,,,Round canvas portrait of Bellerophon,,,,Round canvas portrait of Aphrodite,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Greek Heroes/Bellerophon,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Bellerophon""}]",,,,,,,,,,,,,,
,,,,Greek Heroes,FFFFFF,Dioscuri,Dioscuri,,,,,apollo,,,Round canvas portrait of Dioscuri,,,,Round canvas portrait of Apollo,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Greek Heroes/Dioscuri,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Dioscuri""}]",,,,,,,,,,,,,,
,,,,Greek Heroes,FFFFFF,Peleus,Peleus,,,,,athena,,,Round canvas portrait of Peleus,,,,Round canvas portrait of Athena,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Greek Heroes/Peleus,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Peleus""}]",,,,,,,,,,,,,,
,,,,Greek Heroes,FFFFFF,Theseus,Theseus,,,,,hera,,,Round canvas portrait of Theseus,,,,Round canvas portrait of Hera,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Greek Heroes/Theseus,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Theseus""}]",,,,,,,,,,,,,,
,,,,Greek Heroes,FFFFFF,Meleager,Meleager,,,,,hermes,,,Round canvas portrait of Meleager,,,,Round canvas portrait of Hermes,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Greek Heroes/Meleager,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Meleager""}]",,,,,,,,,,,,,,
,,,,Greek Heroes,FFFFFF,Odysseus,Odysseus,,,,,artemis,,,Round canvas portrait of Odysseus,,,,Round canvas portrait of Artemis,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Greek Heroes/Odysseus,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Odysseus""}]",,,,,,,,,,,,,,